Transaction_ID;Date;Department;Project_Name;Category;Budget_Allocated;Actual_Spending;Revenue_Generated;Status
TRX-117;11/10/2024;IT Transformation;Leadership Executive Batch 5;Vendor Fee;310000000;300000000;0;Selesai
TRX-118;16/10/2024;Leadership Center;Workshop AI Bisnis;Lisensi;175000000;190000000;0;Selesai
TRX-119;21/10/2024;Digital Talent;Pengembangan LMS Telkom;Honorarium;140000000;135000000;185000000;Berjalan
TRX-120;26/10/2024;Admin & Finance;Pelatihan Soft Skill;Sewa Venue;55000000;58000000;0;Selesai
TRX-121;01/11/2024;Learning Dev;Pelatihan Digital Transformation;Konsumsi;28000000;30000000;42000000;Selesai
TRX-122;06/11/2024;IT Transformation;Sertifikasi Cloud Computing;Operasional;85000000;80000000;0;Selesai
TRX-123;11/11/2024;Leadership Center;Leadership Executive Batch 5;Marketing;52000000;55000000;0;Selesai
TRX-124;16/11/2024;Digital Talent;Workshop AI Bisnis;Vendor Fee;260000000;250000000;340000000;Selesai
TRX-125;21/11/2024;Admin & Finance;Pengembangan LMS Telkom;Lisensi;180000000;195000000;0;Berjalan
TRX-126;26/11/2024;Learning Dev;Pelatihan Soft Skill;Honorarium;75000000;72000000;105000000;Selesai
TRX-127;01/12/2024;IT Transformation;Pelatihan Digital Transformation;Sewa Venue;110000000;120000000;0;Berjalan
TRX-128;05/12/2024;Leadership Center;Sertifikasi Cloud Computing;Konsumsi;32000000;30000000;0;Selesai
TRX-129;10/12/2024;Digital Talent;Leadership Executive Batch 5;Operasional;65000000;68000000;95000000;Selesai
TRX-130;15/12/2024;Admin & Finance;Workshop AI Bisnis;Marketing;35000000;38000000;0;Selesai
TRX-131;18/12/2024;Learning Dev;Pengembangan LMS Telkom;Vendor Fee;490000000;475000000;620000000;Berjalan
TRX-132;20/12/2024;IT Transformation;Pelatihan Soft Skill;Lisensi;40000000;45000000;0;Dibatalkan
TRX-133;22/12/2024;Leadership Center;Pelatihan Digital Transformation;Honorarium;135000000;130000000;0;Selesai
TRX-134;24/12/2024;Digital Talent;Sertifikasi Cloud Computing;Sewa Venue;190000000;205000000;275000000;Berjalan
TRX-135;26/12/2024;Admin & Finance;Leadership Executive Batch 5;Konsumsi;28000000;30000000;0;Selesai
TRX-136;28/12/2024;Learning Dev;Workshop AI Bisnis;Operasional;42000000;40000000;58000000;Selesai
TRX-137;30/12/2024;IT Transformation;Pengembangan LMS Telkom;Marketing;55000000;60000000;0;Berjalan
TRX-138;02/01/2024;Leadership Center;Pelatihan Soft Skill;Vendor Fee;95000000;90000000;0;Selesai
TRX-139;05/01/2024;Digital Talent;Pelatihan Digital Transformation;Lisensi;230000000;245000000;320000000;Selesai
TRX-140;10/01/2024;Admin & Finance;Sertifikasi Cloud Computing;Honorarium;160000000;155000000;0;Selesai
TRX-141;15/01/2024;Learning Dev;Leadership Executive Batch 5;Sewa Venue;390000000;410000000;520000000;Selesai
TRX-142;20/01/2024;IT Transformation;Workshop AI Bisnis;Konsumsi;25000000;27000000;0;Selesai
TRX-143;25/01/2024;Leadership Center;Pengembangan LMS Telkom;Operasional;70000000;68000000;0;Berjalan
TRX-144;30/01/2024;Digital Talent;Pelatihan Soft Skill;Marketing;22000000;25000000;32000000;Selesai
TRX-145;05/02/2024;Admin & Finance;Pelatihan Digital Transformation;Vendor Fee;155000000;150000000;0;Selesai
TRX-146;10/02/2024;Learning Dev;Sertifikasi Cloud Computing;Lisensi;295000000;310000000;400000000;Selesai
TRX-147;15/02/2024;IT Transformation;Leadership Executive Batch 5;Honorarium;215000000;210000000;0;Selesai
TRX-148;20/02/2024;Leadership Center;Workshop AI Bisnis;Sewa Venue;125000000;120000000;0;Selesai
TRX-149;25/02/2024;Digital Talent;Pengembangan LMS Telkom;Konsumsi;35000000;38000000;50000000;Berjalan
TRX-150;02/03/2024;Admin & Finance;Pelatihan Soft Skill;Operasional;18000000;20000000;0;Selesai
TRX-151;07/03/2024;Learning Dev;Pelatihan Digital Transformation;Marketing;48000000;52000000;70000000;Selesai
TRX-152;12/03/2024;IT Transformation;Sertifikasi Cloud Computing;Vendor Fee;360000000;350000000;0;Berjalan
TRX-153;17/03/2024;Leadership Center;Leadership Executive Batch 5;Lisensi;245000000;260000000;0;Selesai
TRX-154;22/03/2024;Digital Talent;Workshop AI Bisnis;Honorarium;145000000;140000000;200000000;Selesai
TRX-155;27/03/2024;Admin & Finance;Pengembangan LMS Telkom;Sewa Venue;430000000;450000000;0;Berjalan
TRX-156;01/04/2024;Learning Dev;Pelatihan Soft Skill;Konsumsi;24000000;26000000;35000000;Selesai
TRX-157;06/04/2024;IT Transformation;Pelatihan Digital Transformation;Operasional;60000000;58000000;0;Selesai
TRX-158;11/04/2024;Leadership Center;Sertifikasi Cloud Computing;Marketing;65000000;70000000;0;Selesai
TRX-159;16/04/2024;Digital Talent;Leadership Executive Batch 5;Vendor Fee;340000000;330000000;450000000;Selesai
TRX-160;21/04/2024;Admin & Finance;Workshop AI Bisnis;Lisensi;190000000;205000000;0;Selesai
TRX-161;26/04/2024;Learning Dev;Pengembangan LMS Telkom;Honorarium;155000000;150000000;210000000;Berjalan
TRX-162;02/05/2024;IT Transformation;Pelatihan Soft Skill;Sewa Venue;65000000;70000000;0;Dibatalkan
TRX-163;07/05/2024;Leadership Center;Pelatihan Digital Transformation;Konsumsi;32000000;35000000;0;Selesai
TRX-164;12/05/2024;Digital Talent;Sertifikasi Cloud Computing;Operasional;95000000;90000000;130000000;Selesai
TRX-165;17/05/2024;Admin & Finance;Leadership Executive Batch 5;Marketing;68000000;75000000;0;Selesai
TRX-166;22/05/2024;Learning Dev;Workshop AI Bisnis;Vendor Fee;290000000;280000000;380000000;Selesai
TRX-167;27/05/2024;IT Transformation;Pengembangan LMS Telkom;Lisensi;205000000;220000000;0;Berjalan
TRX-168;01/06/2024;Leadership Center;Pelatihan Soft Skill;Honorarium;85000000;82000000;0;Selesai
TRX-169;06/06/2024;Digital Talent;Pelatihan Digital Transformation;Sewa Venue;125000000;135000000;180000000;Selesai
TRX-170;11/06/2024;Admin & Finance;Sertifikasi Cloud Computing;Konsumsi;38000000;42000000;0;Selesai
TRX-171;16/06/2024;Learning Dev;Leadership Executive Batch 5;Operasional;75000000;72000000;110000000;Selesai
TRX-172;21/06/2024;IT Transformation;Workshop AI Bisnis;Marketing;42000000;45000000;0;Selesai
TRX-173;26/06/2024;Leadership Center;Pengembangan LMS Telkom;Vendor Fee;475000000;460000000;0;Berjalan
TRX-174;01/07/2024;Digital Talent;Pelatihan Soft Skill;Lisensi;55000000;60000000;85000000;Selesai
TRX-175;06/07/2024;Admin & Finance;Pelatihan Digital Transformation;Honorarium;145000000;140000000;0;Selesai
TRX-176;11/07/2024;Learning Dev;Sertifikasi Cloud Computing;Sewa Venue;210000000;225000000;290000000;Selesai
TRX-177;16/07/2024;IT Transformation;Leadership Executive Batch 5;Konsumsi;35000000;38000000;0;Selesai
TRX-178;21/07/2024;Leadership Center;Workshop AI Bisnis;Operasional;55000000;52000000;0;Selesai
TRX-179;26/07/2024;Digital Talent;Pengembangan LMS Telkom;Marketing;70000000;75000000;105000000;Berjalan
TRX-180;01/08/2024;Admin & Finance;Pelatihan Soft Skill;Vendor Fee;110000000;105000000;0;Selesai
TRX-181;06/08/2024;Learning Dev;Pelatihan Digital Transformation;Lisensi;255000000;270000000;350000000;Selesai
TRX-182;11/08/2024;IT Transformation;Sertifikasi Cloud Computing;Honorarium;175000000;170000000;0;Selesai
TRX-183;16/08/2024;Leadership Center;Leadership Executive Batch 5;Sewa Venue;405000000;425000000;0;Berjalan
TRX-184;21/08/2024;Digital Talent;Workshop AI Bisnis;Konsumsi;32000000;35000000;48000000;Selesai
TRX-185;26/08/2024;Admin & Finance;Pengembangan LMS Telkom;Operasional;85000000;82000000;0;Selesai
TRX-186;01/09/2024;Learning Dev;Pelatihan Soft Skill;Marketing;30000000;35000000;45000000;Selesai
TRX-187;06/09/2024;IT Transformation;Pelatihan Digital Transformation;Vendor Fee;175000000;170000000;0;Selesai
TRX-188;11/09/2024;Leadership Center;Sertifikasi Cloud Computing;Lisensi;315000000;330000000;0;Selesai
TRX-189;16/09/2024;Digital Talent;Leadership Executive Batch 5;Honorarium;235000000;230000000;310000000;Selesai
TRX-190;21/09/2024;Admin & Finance;Workshop AI Bisnis;Sewa Venue;145000000;140000000;0;Selesai
TRX-191;26/09/2024;Learning Dev;Pengembangan LMS Telkom;Konsumsi;42000000;45000000;60000000;Berjalan
TRX-192;01/10/2024;IT Transformation;Pelatihan Soft Skill;Operasional;25000000;28000000;0;Dibatalkan
TRX-193;06/10/2024;Leadership Center;Pelatihan Digital Transformation;Marketing;58000000;62000000;0;Selesai
TRX-194;11/10/2024;Digital Talent;Sertifikasi Cloud Computing;Vendor Fee;385000000;375000000;500000000;Selesai
TRX-195;16/10/2024;Admin & Finance;Leadership Executive Batch 5;Lisensi;265000000;280000000;0;Selesai
TRX-196;21/10/2024;Learning Dev;Workshop AI Bisnis;Honorarium;165000000;160000000;225000000;Selesai
TRX-197;26/10/2024;IT Transformation;Pengembangan LMS Telkom;Sewa Venue;455000000;480000000;0;Berjalan
TRX-198;01/11/2024;Leadership Center;Pelatihan Soft Skill;Konsumsi;29000000;32000000;0;Selesai
TRX-199;06/11/2024;Digital Talent;Pelatihan Digital Transformation;Operasional;70000000;68000000;95000000;Selesai
TRX-200;11/11/2024;Admin & Finance;Sertifikasi Cloud Computing;Marketing;75000000;82000000;0;Selesai
TRX-201;16/11/2024;Learning Dev;Leadership Executive Batch 5;Vendor Fee;365000000;355000000;480000000;Selesai
TRX-202;21/11/2024;IT Transformation;Workshop AI Bisnis;Lisensi;215000000;230000000;0;Selesai
TRX-203;26/11/2024;Leadership Center;Pengembangan LMS Telkom;Honorarium;175000000;170000000;0;Berjalan
TRX-204;01/12/2024;Digital Talent;Pelatihan Soft Skill;Sewa Venue;78000000;85000000;115000000;Selesai
TRX-205;05/12/2024;Admin & Finance;Pelatihan Digital Transformation;Konsumsi;45000000;48000000;0;Selesai
TRX-206;10/12/2024;Learning Dev;Sertifikasi Cloud Computing;Operasional;115000000;110000000;150000000;Selesai
TRX-207;15/12/2024;IT Transformation;Leadership Executive Batch 5;Marketing;82000000;90000000;0;Selesai
TRX-208;18/12/2024;Leadership Center;Workshop AI Bisnis;Vendor Fee;315000000;305000000;0;Selesai
TRX-209;20/12/2024;Digital Talent;Pengembangan LMS Telkom;Lisensi;235000000;250000000;320000000;Berjalan
TRX-210;22/12/2024;Admin & Finance;Pelatihan Soft Skill;Honorarium;105000000;100000000;0;Dibatalkan
TRX-211;24/12/2024;Learning Dev;Pelatihan Digital Transformation;Sewa Venue;155000000;170000000;220000000;Selesai
TRX-212;26/12/2024;IT Transformation;Sertifikasi Cloud Computing;Konsumsi;48000000;52000000;0;Selesai
TRX-213;28/12/2024;Leadership Center;Leadership Executive Batch 5;Operasional;90000000;85000000;0;Berjalan
TRX-214;30/12/2024;Digital Talent;Workshop AI Bisnis;Marketing;55000000;60000000;80000000;Selesai
TRX-215;02/01/2024;Admin & Finance;Pengembangan LMS Telkom;Vendor Fee;480000000;465000000;0;Selesai
TRX-216;05/01/2024;Learning Dev;Pelatihan Soft Skill;Lisensi;65000000;70000000;95000000;Selesai
TRX-217;10/01/2024;IT Transformation;Pelatihan Digital Transformation;Honorarium;165000000;160000000;0;Selesai
TRX-218;15/01/2024;Leadership Center;Sertifikasi Cloud Computing;Sewa Venue;235000000;250000000;0;Selesai
TRX-219;20/01/2024;Digital Talent;Leadership Executive Batch 5;Konsumsi;48000000;52000000;70000000;Selesai
TRX-220;25/01/2024;Admin & Finance;Workshop AI Bisnis;Operasional;65000000;62000000;0;Selesai
TRX-221;30/01/2024;Learning Dev;Pengembangan LMS Telkom;Marketing;85000000;92000000;120000000;Berjalan
TRX-222;05/02/2024;IT Transformation;Pelatihan Soft Skill;Vendor Fee;135000000;130000000;0;Selesai
TRX-223;10/02/2024;Leadership Center;Pelatihan Digital Transformation;Lisensi;275000000;290000000;0;Selesai
TRX-224;15/02/2024;Digital Talent;Sertifikasi Cloud Computing;Honorarium;195000000;190000000;260000000;Selesai
TRX-225;20/02/2024;Admin & Finance;Leadership Executive Batch 5;Sewa Venue;425000000;445000000;0;Selesai
TRX-226;25/02/2024;Learning Dev;Workshop AI Bisnis;Konsumsi;38000000;42000000;55000000;Selesai
TRX-227;02/03/2024;IT Transformation;Pengembangan LMS Telkom;Operasional;95000000;92000000;0;Berjalan
TRX-228;07/03/2024;Leadership Center;Pelatihan Soft Skill;Marketing;45000000;50000000;0;Selesai
TRX-229;12/03/2024;Digital Talent;Pelatihan Digital Transformation;Vendor Fee;195000000;190000000;260000000;Selesai
TRX-230;17/03/2024;Admin & Finance;Sertifikasi Cloud Computing;Lisensi;335000000;350000000;0;Dibatalkan
TRX-231;22/03/2024;Learning Dev;Leadership Executive Batch 5;Honorarium;255000000;250000000;340000000;Selesai
TRX-232;27/03/2024;IT Transformation;Workshop AI Bisnis;Sewa Venue;165000000;160000000;0;Selesai
TRX-233;01/04/2024;Leadership Center;Pengembangan LMS Telkom;Konsumsi;55000000;60000000;0;Berjalan
TRX-234;06/04/2024;Digital Talent;Pelatihan Soft Skill;Operasional;35000000;33000000;45000000;Selesai
TRX-235;11/04/2024;Admin & Finance;Pelatihan Digital Transformation;Marketing;68000000;75000000;0;Selesai
TRX-236;16/04/2024;Learning Dev;Sertifikasi Cloud Computing;Vendor Fee;405000000;395000000;520000000;Selesai
TRX-237;21/04/2024;IT Transformation;Leadership Executive Batch 5;Lisensi;285000000;300000000;0;Selesai
TRX-238;26/04/2024;Leadership Center;Workshop AI Bisnis;Honorarium;185000000;180000000;0;Selesai
TRX-239;02/05/2024;Digital Talent;Pengembangan LMS Telkom;Sewa Venue;475000000;500000000;650000000;Berjalan
TRX-240;07/05/2024;Admin & Finance;Pelatihan Soft Skill;Konsumsi;32000000;35000000;0;Selesai
TRX-241;12/05/2024;Learning Dev;Pelatihan Digital Transformation;Operasional;85000000;82000000;115000000;Selesai
TRX-242;17/05/2024;IT Transformation;Sertifikasi Cloud Computing;Marketing;85000000;92000000;0;Selesai
TRX-243;22/05/2024;Leadership Center;Leadership Executive Batch 5;Vendor Fee;385000000;375000000;0;Selesai
TRX-244;27/05/2024;Digital Talent;Workshop AI Bisnis;Lisensi;235000000;250000000;330000000;Selesai
TRX-245;01/06/2024;Admin & Finance;Pengembangan LMS Telkom;Honorarium;195000000;190000000;0;Berjalan
TRX-246;06/06/2024;Learning Dev;Pelatihan Soft Skill;Sewa Venue;95000000;105000000;140000000;Selesai
TRX-247;11/06/2024;IT Transformation;Pelatihan Digital Transformation;Konsumsi;55000000;60000000;0;Selesai
